"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\hive\local_storage_service.dart", "Dart", 12, 0, 1, 2, 15
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\notifications\act_on_notification.dart", "Dart", 4, 0, 0, 2, 6
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\notifications\create_notification.dart", "Dart", 69, 0, 1, 7, 77
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\notifications\init_notifications.dart", "Dart", 29, 0, 0, 4, 33
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\notifications\listen_for_notification.dart", "Dart", 7, 0, 0, 3, 10
"c:\Users\dunca\Documents\development\apps\sayari\lib\_services\notifications\notifications.dart", "Dart", 9, 0, 0, 3, 12
"c:\Users\dunca\Documents\development\apps\sayari\lib\_variables\colors.dart", "Dart", 28, 0, 0, 3, 31
"c:\Users\dunca\Documents\development\apps\sayari\lib\_variables\constants.dart", "Dart", 17, 0, 1, 8, 26
"c:\Users\dunca\Documents\development\apps\sayari\lib\_variables\date_time.dart", "Dart", 108, 0, 4, 9, 121
"c:\Users\dunca\Documents\development\apps\sayari\lib\_variables\emojis.dart", "Dart", 15, 0, 0, 1, 16
"c:\Users\dunca\Documents\development\apps\sayari\lib\_variables\features.dart", "Dart", 63, 0, 0, 6, 69
"c:\Users\dunca\Documents\development\apps\sayari\lib\_variables\global.dart", "Dart", 1, 0, 0, 1, 2
"c:\Users\dunca\Documents\development\apps\sayari\lib\_variables\intro_features.dart", "Dart", 7, 0, 3, 2, 12
"c:\Users\dunca\Documents\development\apps\sayari\lib\_variables\navigation.dart", "Dart", 7, 0, 0, 5, 12
"c:\Users\dunca\Documents\development\apps\sayari\lib\_variables\ui.dart", "Dart", 3, 0, 0, 2, 5
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\buttons\buttons.dart", "Dart", 156, 0, 0, 7, 163
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\buttons\close_button.dart", "Dart", 30, 0, 3, 6, 39
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\buttons\color_button.dart", "Dart", 40, 0, 0, 6, 46
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\dialogs\app_dialog.dart", "Dart", 80, 0, 9, 5, 94
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\dialogs\confirmation_dialog.dart", "Dart", 34, 0, 0, 4, 38
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\dialogs\dialog_about_app.dart", "Dart", 0, 0, 0, 2, 2
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\dialogs\dialog_buttons.dart", "Dart", 24, 0, 0, 5, 29
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\dialogs\dialog_option_button.dart", "Dart", 20, 0, 0, 5, 25
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\dialogs\dialog_select_date.dart", "Dart", 43, 0, 4, 5, 52
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\dialogs\dialog_select_groups.dart", "Dart", 67, 0, 0, 6, 73
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\layout\column_layout.dart", "Dart", 50, 0, 0, 5, 55
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\layout\grid_layout.dart", "Dart", 44, 0, 0, 6, 50
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\layout\layout_button.dart", "Dart", 56, 0, 2, 5, 63
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\layout\list_layout.dart", "Dart", 43, 0, 0, 5, 48
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\layout\list_of_items.dart", "Dart", 46, 0, 4, 6, 56
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\layout\masonry\foundation\extensions.dart", "Dart", 11, 0, 1, 2, 14
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\layout\masonry\rendering\sliver_masonry_grid.dart", "Dart", 441, 0, 132, 79, 652
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\layout\masonry\rendering\sliver_simple_grid_delegate.dart", "Dart", 25, 0, 34, 9, 68
"c:\Users\dunca\Documents\development\apps\sayari\lib\_widgets\layout\masonry\widgets\masonry_grid_view.dart", "Dart", 82, 0, 13, 9, 104
